Threshold,January(Pr),January(Re),February(Pr),February(Rc),March(Pr),March(Rc),April(Pr),April(RC),May(Pr),May(Rc),June(P),June®,July(P),July(Rc),August(Pr),August(Rc),September(Pr)September(Rc),,Oct(Pr),Oct(Rc),Nov(Pr),Nov(Rc),Dec(Pr),Dec(Rc)
0.7,0.782679639813864,0.923422459893048,0.7613776861937,0.922067736185383,0.677552400270453,0.893137254901961,0.668510265796594,0.898449197860963,0.648075746030953,0.924830659536542,0.645212341740604,0.922941176470588,0.657273130264074,0.925044563279857,0.639096630877453,0.923101604278075,0.673948611892826,0.917807486631016,0.651329476835642,0.915204991087344,0.689115418147676,0.915811051693404,0.740818749823302,0.934171122994652
0.71,0.776871877733142,0.934171122994652,0.755818648516136,0.93427807486631,0.670643951851608,0.908716577540107,0.660855518221763,0.911532976827094,0.639623951191592,0.936256684491979,0.639020229100658,0.934723707664884,0.650229102167183,0.935935828877005,0.632513776513005,0.935026737967914,0.665952235150031,0.93048128342246,0.642902931531842,0.929607843137255,0.68282965952874,0.928770053475936,0.736747616728133,0.943654188948306
0.72,0.771120658268405,0.943832442067736,0.750456559593414,0.944919786096257,0.663696847718794,0.922869875222816,0.653331989365857,0.924295900178253,0.631015915655347,0.946310160427808,0.632071874553167,0.945561497326203,0.642973945274174,0.946203208556149,0.625905647464187,0.945508021390374,0.657442546255397,0.941853832442068,0.635271914218397,0.942014260249554,0.677151701195782,0.939768270944742,0.732829453642611,0.952299465240642
0.73,0.765000787818888,0.951996434937611,0.744940285626792,0.95397504456328,0.65747858692517,0.934545454545455,0.645979698554291,0.935864527629234,0.622803447032691,0.954598930481283,0.624014349441513,0.955008912655971,0.635259115262434,0.955311942959002,0.618934254775745,0.954670231729055,0.648776934749621,0.952638146167558,0.627965454438635,0.952638146167558,0.671473227790663,0.949590017825312,0.728221157749452,0.959304812834225
0.74,0.759541015073675,0.959269162210338,0.739851664998698,0.961978609625668,0.651324674049157,0.945686274509804,0.637872437521767,0.946791443850267,0.61474738279472,0.962994652406417,0.615906731613831,0.9624064171123,0.62661452228708,0.962495543672014,0.611669063281966,0.962959001782531,0.638567924058734,0.96048128342246,0.621233066076859,0.961283422459893,0.665845079144888,0.958270944741533,0.724288635543497,0.965989304812834
0.75,0.753550217672504,0.965739750445633,0.734794535356675,0.969286987522282,0.646002869302084,0.955151515151515,0.628717804429126,0.955953654188948,0.606338271522367,0.969590017825312,0.607884165650281,0.968377896613191,0.618324256102969,0.969358288770053,0.604086618545253,0.969661319073084,0.628965820470692,0.968966131907308,0.614459193595803,0.968698752228164,0.660395761957595,0.965508021390374,0.719734463053147,0.972103386809269
0.76,0.748808853616005,0.972103386809269,0.730387050244411,0.974812834224599,0.642327526794838,0.963582887700535,0.62268451894406,0.964117647058824,0.599721686535764,0.975632798573975,0.601282389688091,0.974527629233512,0.611119803308002,0.974741532976827,0.597704162434331,0.975472370766488,0.621253932022848,0.975169340463458,0.608484268612879,0.974919786096257,0.656036857489986,0.972139037433155,0.716287032317926,0.977023172905526
0.77,0.744197101606748,0.976702317290552,0.72621910929034,0.979554367201426,0.638768379335413,0.97108734402852,0.616525951243804,0.971033868092692,0.593333117646425,0.980713012477718,0.594785677937658,0.979233511586453,0.603944621470168,0.979768270944742,0.591369412371799,0.980534759358289,0.61348051513631,0.980748663101604,0.602700392345966,0.980285204991087,0.652056553741513,0.9774688057041,0.712407474506962,0.981319073083779
0.78,0.738905673044646,0.980926916221034,0.721660937642953,0.984224598930481,0.635138423742366,0.976969696969697,0.61054190703165,0.977237076648841,0.587151965993624,0.984866310160428,0.588630011308114,0.983547237076649,0.596040715434517,0.984295900178253,0.585324521267582,0.985098039215686,0.605330880339915,0.985329768270945,0.597295924432868,0.985133689839572,0.648135083015851,0.9825311942959,0.708602646968298,0.984919786096257
0.79,0.734088220831173,0.98458110516934,0.717459700912799,0.987754010695187,0.63139669544678,0.98156862745098,0.60443430276568,0.982103386809269,0.581691736421424,0.988502673796792,0.583245554900143,0.987005347593583,0.589066587269518,0.9874688057041,0.579257464011867,0.988413547237077,0.597096208280865,0.988912655971479,0.592407443013096,0.988591800356506,0.644003865094241,0.986060606060606,0.7044189062063,0.987718360071301
