,J_p,J_r,F_p,F_r,M_p,M_r,A_p,A_r,M_p,M_r,June_p,June_r,July_p,July_r,Aug_p,Aug_r,Sep_p,Sep_r,Oct_p,Oct_r,No_p,No_r,Dec_p,Dec_r
1.31,0.861860573923893,0.788057040998218,0.905790503496774,0.833440285204991,0.934231240160924,0.856844919786096,0.916701686429994,0.894331550802139,0.935125064561352,0.903654188948307,0.906713957260235,0.906827094474153,0.893877911079746,0.903119429590018,0.927426626184562,0.898413547237077,0.929808907725481,0.891622103386809,0.864973962884004,0.882335115864528,0.932037877293352,0.842156862745098,0.876119839953157,0.800142602495544
1.32,0.865293029480065,0.783761140819964,0.908924145736979,0.830231729055258,0.937314191832264,0.854242424242424,0.920517628028381,0.892655971479501,0.937967973904663,0.902121212121212,0.90987616709378,0.905026737967914,0.896951306076093,0.900980392156863,0.930171009771987,0.895882352941177,0.932887285775693,0.889768270944741,0.868235045890917,0.880213903743315,0.934643246998114,0.839429590017825,0.879065100631529,0.796470588235294
1.33,0.868974975651448,0.779304812834225,0.911606985012473,0.827254901960784,0.939889420144423,0.851479500891266,0.924017386479238,0.890499108734403,0.941041689951939,0.90048128342246,0.913066195812764,0.903333333333333,0.900314027762909,0.899447415329768,0.932702144677368,0.893814616755793,0.936329799233025,0.887860962566845,0.871351236599087,0.877967914438502,0.937219193673995,0.836631016042781,0.881689526678823,0.792923351158645
1.34,0.871643706511059,0.774830659536542,0.914300403385272,0.824206773618538,0.941470646372801,0.849001782531194,0.927259532183331,0.888235294117647,0.943718160023974,0.898163992869875,0.915635810406969,0.901158645276292,0.903011173084166,0.897522281639929,0.935508601346298,0.891818181818182,0.939136842900873,0.885935828877005,0.874177485328117,0.87620320855615,0.939499206843236,0.834010695187166,0.884247519019189,0.789376114081996
1.35,0.874393105680531,0.770463458110517,0.917244125846276,0.821105169340463,0.943232828824534,0.846488413547237,0.930247352467912,0.886238859180036,0.946723394642218,0.896417112299465,0.918320166017403,0.899233511586453,0.905359137924821,0.895579322638146,0.937955655768508,0.889803921568627,0.941615543864314,0.883725490196078,0.877361866590324,0.874046345811052,0.94175109998789,0.831729055258467,0.88645042003296,0.786238859180036
1.36,0.877586417989634,0.766613190730838,0.920097046498105,0.817967914438503,0.945024245205835,0.844171122994652,0.93316282393651,0.884491978609626,0.948989431094137,0.894705882352941,0.921167749611055,0.897112299465241,0.907897357889209,0.893672014260249,0.940488099507371,0.888199643493761,0.944024725274725,0.882032085561497,0.880024481126132,0.87144385026738,0.94349193466572,0.828877005347593,0.888569520069631,0.782495543672014
1.37,0.880003290962195,0.762638146167558,0.922325590781587,0.814688057040998,0.946800833867864,0.841960784313725,0.9359461554459,0.882442067736185,0.951346424095104,0.892976827094474,0.923765908923711,0.895311942959002,0.910215591740198,0.891800356506239,0.942756920743269,0.886292335115865,0.946589187426884,0.87982174688057,0.882764986967854,0.869358288770053,0.945290985863778,0.826042780748663,0.890525372282996,0.779233511586453
1.38,0.882287088481632,0.758609625668449,0.92418061897514,0.81174688057041,0.948278987331574,0.839269162210339,0.938544832826748,0.880659536541889,0.953148239960337,0.890998217468806,0.926005986032591,0.893422459893048,0.912481043649851,0.890213903743315,0.944336569579288,0.884242424242424,0.949265584640888,0.877825311942959,0.885406998962712,0.867272727272727,0.946804149071379,0.823297682709447,0.892753860984064,0.775900178253119
1.39,0.884890431582469,0.754349376114082,0.926177101419671,0.808217468805704,0.950309804398008,0.836577540106952,0.941039491515718,0.878823529411765,0.955395104761175,0.88921568627451,0.928466692651781,0.891675579322638,0.91497559722579,0.888912655971479,0.946413881502171,0.881818181818182,0.95154697095918,0.875508021390374,0.88842718020063,0.865115864527629,0.948525170964818,0.820837789661319,0.894527219447769,0.772673796791444
1.4,0.887385678762591,0.750623885918004,0.928336553084796,0.805187165775401,0.951799877974375,0.834224598930481,0.943334739102097,0.877183600713012,0.957461538461538,0.887486631016043,0.930827460193161,0.889910873440285,0.917214700193424,0.887540106951872,0.948475592184888,0.880053475935829,0.953612359659876,0.873600713012478,0.890978342870812,0.863137254901961,0.950065213340786,0.818021390374332,0.896159199019547,0.769019607843137
